model,dataset,recall,query_latency,construction_time
HNSW,arxiv-nomic-768-normalized_20_variants_512_dim,0.8905,0.00025082468986511227,652.4075849056244
HNSW,arxiv-nomic-768-normalized_20_variants_512_dim,0.7665,0.00015181899070739748,249.5959987640381
FLATNAV,arxiv-nomic-768-normalized_20_variants_512_dim,0.942,0.000198289155960083,355.2444291114807
FLATNAV,arxiv-nomic-768-normalized_20_variants_512_dim,0.854,0.00021599054336547853,144.6979444026947
FLATNAV,arxiv-nomic-768-normalized_20_variants_512_dim,0.99125,0.0004813408851623535,654.3441088199615
FLATNAV,arxiv-nomic-768-normalized_20_variants_512_dim,0.95925,0.00019935131072998047,364.75101017951965
FLATNAV,arxiv-nomic-768-normalized_20_variants_512_dim,0.854,0.00026885151863098144,180.44938039779663
FLATNAV,arxiv-nomic-768-normalized_20_variants_512_dim,0.957,0.00043182611465454097,387.5879237651825
FLATNAV,arxiv-nomic-768-normalized_20_variants_512_dim,0.9125,0.0002428293228149414,215.6745994091034
FLATNAV,arxiv-nomic-768-normalized_20_variants_512_dim,0.978,0.00029956936836242673,693.675833940506
FLATNAV,arxiv-nomic-768-normalized_20_variants_512_dim,0.7105,0.0001833927631378174,102.00233101844788
FLATNAV,arxiv-nomic-768-normalized_20_variants_512_dim,0.9765,0.00044341325759887694,543.6311304569244
FLATNAV,arxiv-nomic-768-normalized_20_variants_512_dim,0.9125,0.00024114727973937987,201.36014127731323
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.971,0.0004779517650604248,1821.520038843155
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.97525,0.000474238395690918,1843.0705099105835
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.971,0.0004815518856048584,1821.520038843155
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.98575,0.0006694209575653076,1821.520038843155
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.97525,0.0004710221290588379,1843.0705099105835
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.97525,0.00047283172607421876,1843.0705099105835
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.883,0.0004210627079010009,1790.4704749584198
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.951,0.00038522124290466306,1588.9315769672394
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.92075,0.00057273268699646,1790.4704749584198
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.951,0.0003885853290557862,1588.9315769672394
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.985,0.0007020020484924316,1843.0705099105835
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.951,0.0004613041877746582,1588.9315769672394
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.971,0.0004881095886230469,1821.520038843155
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.883,0.00041667938232421877,1790.4704749584198
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.97175,0.0005348336696624756,1588.9315769672394
NSG,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.883,0.0004257559776306153,1790.4704749584198
HNSW,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.7995,0.00011463284492492675,214.9401867389679
HNSW,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.9985,0.001644902229309082,2082.723564386368
HNSW,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.74175,0.0003125190734863281,359.44763255119324
HNSW,agnews-mxbai-1024-euclidean_20_variants_384_dim,0.6235,0.00016875982284545897,201.4394898414612
