model,dataset,construction_time (parallel),construction_time (sequential),search_time,search_timex_refined (parallel),search_timex_refined (sequential),recall,refined_recall,scann_peram,annoy_peram
scann,MNIST,104.55184245109558,104.55184245109558,0.023798227310180664,0.02327251434326172,0.02327251434326172,0.73625,0.75125,2000-10-250000-2-0.2,
scann,MNIST,115.95424795150757,115.95424795150757,0.054877281188964844,0.05452227592468262,0.05452227592468262,0.93575,0.997,2000-200-250000-2-0.2,
scann,MNIST,113.89367461204529,113.89367461204529,0.03062272071838379,0.028950929641723633,0.028950929641723633,0.88125,0.9195,2000-25-250000-2-0.2,
scann,MNIST,110.83136343955994,110.83136343955994,0.08547854423522949,0.08089065551757812,0.08089065551757812,0.93625,0.9985,2000-400-250000-2-0.2,
scann,MNIST,112.30043339729309,112.30043339729309,0.03609275817871094,0.03460049629211426,0.03460049629211426,0.9215,0.97275,2000-50-250000-2-0.2,
scann,MNIST,113.9024772644043,113.9024772644043,0.11410737037658691,0.11164021492004395,0.11164021492004395,0.9365,0.99875,2000-600-250000-2-0.2,
scann,MNIST,117.81664419174194,117.81664419174194,0.034090518951416016,0.03388333320617676,0.03388333320617676,0.93025,0.987,2000-75-250000-2-0.2,
scann,notre,67.8698217868805,67.8698217868805,0.09670829772949219,0.10556936264038086,0.10556936264038086,0.7575,0.91575,2000-1000-250000-2-0.2,
scann,notre,68.80387353897095,68.80387353897095,0.021737098693847656,0.02247166633605957,0.02247166633605957,0.7545,0.909,2000-100-250000-2-0.2,
scann,notre,54.456233501434326,54.456233501434326,0.008413553237915039,0.008144140243530273,0.008144140243530273,0.69225,0.8055,2000-10-250000-2-0.2,
scann,notre,66.23983120918274,66.23983120918274,0.029587984085083008,0.03192853927612305,0.03192853927612305,0.75575,0.91225,2000-200-250000-2-0.2,
scann,notre,59.44273805618286,59.44273805618286,0.010743856430053711,0.010952472686767578,0.010952472686767578,0.735,0.871,2000-25-250000-2-0.2,
scann,notre,69.85750913619995,69.85750913619995,0.050873517990112305,0.05596923828125,0.05596923828125,0.75725,0.91475,2000-400-250000-2-0.2,
scann,notre,57.79294300079346,57.79294300079346,0.014734029769897461,0.01524662971496582,0.01524662971496582,0.74875,0.8995,2000-50-250000-2-0.2,
scann,notre,64.63663983345032,64.63663983345032,0.06409406661987305,0.06778645515441895,0.06778645515441895,0.757,0.91525,2000-600-250000-2-0.2,
scann,notre,64.89640688896179,64.89640688896179,0.018680095672607422,0.01893448829650879,0.01893448829650879,0.75225,0.9065,2000-75-250000-2-0.2,
scann,sift,87.11192226409912,87.11192226409912,10.332565784454346,10.341290712356567,10.341290712356567,0.682033,0.879848,2000-1000-250000-2-0.2,
scann,sift,84.52374291419983,84.52374291419983,1.7541835308074951,1.9783775806427002,1.9783775806427002,0.680543,0.875661,2000-100-250000-2-0.2,
scann,sift,74.3733446598053,74.3733446598053,0.596306562423706,0.7223408222198486,0.7223408222198486,0.582771,0.688699,2000-10-250000-2-0.2,
scann,sift,88.77271819114685,88.77271819114685,2.8810267448425293,3.1435468196868896,3.1435468196868896,0.682035,0.879533,2000-200-250000-2-0.2,
